id,city_ibge_code,date,estimated_population_2019,last_available_deaths,new_confirmed,new_deaths,state_ibge_code
1,1200401,2020-03-17,407319,0,3,0,12
2,1200401,2020-03-18,407319,0,0,0,12
3,1200401,2020-03-19,407319,0,1,0,12
4,1200401,2020-03-20,407319,0,3,0,12
5,1200401,2020-03-21,407319,0,4,0,12
6,1200401,2020-03-22,407319,0,0,0,12
7,1200401,2020-03-23,407319,0,6,0,12
8,1200401,2020-03-24,407319,0,4,0,12
9,1200401,2020-03-25,407319,0,2,0,12
10,1200401,2020-03-26,407319,0,0,0,12
11,1200401,2020-03-27,407319,0,2,0,12
12,1200401,2020-03-28,407319,0,0,0,12
13,1200401,2020-03-29,407319,0,6,0,12
14,1200401,2020-03-30,407319,0,3,0,12
15,1200401,2020-03-31,407319,0,0,0,12
16,1200401,2020-04-01,407319,0,0,0,12
17,1200401,2020-04-02,407319,0,2,0,12
18,1200401,2020-04-03,407319,0,0,0,12
19,1200401,2020-04-04,407319,0,0,0,12
20,1200401,2020-04-05,407319,0,2,0,12
21,1200401,2020-04-06,407319,1,1,1,12
22,1200401,2020-04-07,407319,2,0,1,12
23,1200401,2020-04-08,407319,2,6,0,12
24,1200401,2020-04-09,407319,2,3,0,12
25,1200401,2020-04-10,407319,2,7,0,12
26,1200401,2020-04-11,407319,2,2,0,12
27,1200401,2020-04-12,407319,2,3,0,12
28,1200401,2020-04-13,407319,3,8,1,12
29,1200401,2020-04-14,407319,3,6,0,12
30,1200401,2020-04-15,407319,3,2,0,12
31,1200401,2020-04-16,407319,4,10,1,12
32,1200401,2020-04-17,407319,4,19,0,12
33,1200401,2020-04-18,407319,5,7,1,12
34,1200401,2020-04-19,407319,5,11,0,12
35,1200401,2020-04-20,407319,7,13,2,12
36,1200401,2020-04-21,407319,7,18,0,12
37,1200401,2020-04-22,407319,7,18,0,12
38,1200401,2020-04-23,407319,9,13,2,12
39,1200401,2020-04-24,407319,10,6,1,12
